Sod,Species,Date,Time_pt,veg,live_dead,num_indiv_at_that_height,special_case_num_indiv,HvMax,HrMax,Diam,DiamHalf,Biomass_indiv,Bio_rest_of_individuals_of_sp
MH_CH_02,Pult diva,29.5.17,1,ch,,,,60,,2,2,,
MH_CH_03,Alma incu,1.6.17,1,ch,,,,,,,,,
MH_CH_03,Baec lini,1.6.17,1,ch,,,,,,,,,
MH_CH_03,Chor spha,1.6.17,1,ch,,,,560,,5,4,,
MH_CH_03,Dros spat,1.6.17,1,ch,,,,20,,5,10,,
MH_CH_03,Dros spat,1.6.17,1,ch,,,,,,,,,
MH_CH_03,Epac obtu,1.6.17,1,ch,,,,40,,1,2,,
MH_CH_03,Epac obtu,1.6.17,1,ch,,,,110,,1,2,,
MH_CH_03,Epac obtu,1.6.17,1,ch,,,,120,,1,2,,
MH_CH_03,Epac obtu,1.6.17,1,ch,,,,90,,1,2,,
MH_CH_03,Epac obtu,1.6.17,1,ch,,3,,80,,1,2,,
MH_CH_03,Epac obtu,1.6.17,1,ch,,,,,,,,,
MH_CH_03,Epac obtu,1.6.17,1,ch,,,,,,,,,
MH_CH_03,Good bell,1.6.17,1,ch,,,,70,,5,10,,
MH_CH_03,Gymn spha,1.6.17,1,ch,,,,,,,,,
MH_CH_03,Ptil deus,1.6.17,1,ch,,,,,,,,,
MH_CH_03,Ptil deus,1.6.17,1,ch,,,,,,,,,
MH_CH_03,Pult diva,1.6.17,1,ch,,,,30,,1,2,,
MH_CH_03,Pult diva,1.6.17,1,ch,,,,,,,,,
MH_CH_03,Scho brev,1.6.17,1,ch,,,,50,,5,2,,
MH_CH_03,Scho brev,1.6.17,1,ch,,,,,,,,,
MH_CH_04,Baec lini,29.5.17,1,ch,,,,180,,8,5,,
MH_CH_04,Baec lini,29.5.17,1,ch,,,,80,,5,4,,
MH_CH_04,Dros spat,29.5.17,1,ch,,,,,,,,,
MH_CH_04,Dros spat,29.5.17,1,ch,,,,,,,,,
MH_CH_04,Empo minu,29.5.17,1,ch,,,,,,,,,
MH_CH_04,Epac obtu,29.5.17,1,ch,,4,,100,,2,2,,
MH_CH_04,Epac obtu,29.5.17,1,ch,,5,,30,,2,2,,
MH_CH_04,Epac obtu,29.5.17,1,ch,,,,,,,,,
MH_CH_04,Epac obtu,29.5.17,1,ch,,,,,,,,,
MH_CH_04,Epac obtu,29.5.17,1,ch,,,,,,,,,
MH_CH_04,Epac obtu,29.5.17,1,ch,,,,,,,,,
MH_CH_04,Epac obtu,29.5.17,1,ch,,,,,,,,,
MH_CH_04,Epac obtu,29.5.17,1,ch,,,,,,,,,
MH_CH_04,Epac obtu,29.5.17,1,ch,,,,,,,,,
MH_CH_04,Ptil deus,29.5.17,1,ch,,,,,,,,,
MH_CH_04,Scho brev,29.5.17,1,ch,,,,250,,2,2,,
MH_CH_04,Scho brev,29.5.17,1,ch,,,,,,,,,
MH_CH_05,Baec lini,26.5.17,1,ch,,,,130,,1,2,,
MH_CH_05,Baec lini,26.5.17,1,ch,,3,,30,,1,2,,
MH_CH_05,Baec lini,26.5.17,1,ch,,,,50,,1,2,,
MH_CH_05,Baec lini,26.5.17,1,ch,,,,40,,1,2,,
MH_CH_05,Baec lini,26.5.17,1,ch,,,,,,,,,
MH_CH_05,Baec lini,26.5.17,1,ch,,,,,,,,,
MH_CH_05,Baec lini,26.5.17,1,ch,,,,,,,,,
MH_CH_05,Baec lini,26.5.17,1,ch,,,,,,,,,
MH_CH_05,Empo minu,26.5.17,1,ch,,,,360,,1,1,,
MH_CH_05,Epac obtu,26.5.17,1,ch,,6,,60,,1,1,,
MH_CH_05,Epac obtu,26.5.17,1,ch,,2,,70,,1,1,,
MH_CH_05,Epac obtu,26.5.17,1,ch,,10,,40,,1,1,,
MH_CH_05,Epac obtu,26.5.17,1,ch,,,,,,,,,
MH_CH_05,Epac obtu,26.5.17,1,ch,,,,,,,,,
MH_CH_05,Epac obtu,26.5.17,1,ch,,,,,,,,,
MH_CH_05,Epac obtu,26.5.17,1,ch,,,,,,,,,
MH_CH_05,Epac obtu,26.5.17,1,ch,,,,,,,,,
MH_CH_05,Epac obtu,26.5.17,1,ch,,,,,,,,,
MH_CH_05,Epac obtu,26.5.17,1,ch,,,,,,,,,
MH_CH_05,Epac obtu,26.5.17,1,ch,,,,,,,,,
MH_CH_05,Epac obtu,26.5.17,1,ch,,,,,,,,,
MH_CH_05,Epac obtu,26.5.17,1,ch,,,,,,,,,
MH_CH_05,Epac obtu,26.5.17,1,ch,,,,,,,,,
MH_CH_05,Epac obtu,26.5.17,1,ch,,,,,,,,,
MH_CH_05,Epac obtu,26.5.17,1,ch,,,,,,,,,
MH_CH_05,Epac obtu,26.5.17,1,ch,,,,,,,,,
MH_CH_05,Epac obtu,26.5.17,1,ch,,,,,,,,,
MH_CH_05,Good bell,26.5.17,1,ch,,,,30,,10,15,,
MH_CH_05,Good bell,26.5.17,1,ch,,,,40,,5,8,,
MH_CH_05,Lepi limi,26.5.17,1,ch,,,,290,,6,4,,
MH_CH_05,Lepi limi,26.5.17,1,ch,,,,390,,6,3,,
MH_CH_05,Lepi limi,26.5.17,1,ch,,,,360,,8,4,,
MH_CH_05,Lept juni,26.5.17,1,ch,,,,,,,,,
MH_CH_05,Lepy scar,26.5.17,1,ch,,,,,,,,,
MH_CH_05,Ptil deus,26.5.17,1,ch,,,,210,,5,4,,
MH_CH_05,Ptil deus,26.5.17,1,ch,,,,160,,2,2,,
MH_CH_05,Ptil deus,26.5.17,1,ch,,,,90,,1,1,,
MH_CH_05,Ptil deus,26.5.17,1,ch,,,,150,,1,1,,
MH_CH_05,Scho brev,26.5.17,1,ch,,,,,,,,,
MH_CH_05,Scho brev,26.5.17,1,ch,,,,,,,,,
MH_CH_05,Xyri oper,26.5.17,1,ch,,,,,,,,,
MH_CH_06,Baec lini,29.5.17,1,ch,,,,,,,,,
MH_CH_06,Baec lini,29.5.17,1,ch,,,,,,,,,
MH_CH_06,Baec lini,29.5.17,1,ch,,,,,,,,,
MH_CH_06,Bank eric,29.5.17,1,ch,,,,80,,2,3,,
MH_CH_06,Empo minu,29.5.17,1,ch,,,,,,,,,
MH_CH_06,Epac obtu,29.5.17,1,ch,,,,60,,2,2,,
MH_CH_06,Epac obtu,29.5.17,1,ch,,3,,30,,2,2,,
MH_CH_06,Epac obtu,29.5.17,1,ch,,3,,10,,2,2,,
MH_CH_06,Epac obtu,29.5.17,1,ch,,,,,,,,,
MH_CH_06,Epac obtu,29.5.17,1,ch,,,,,,,,,
MH_CH_06,Epac obtu,29.5.17,1,ch,,,,,,,,,
MH_CH_06,Epac obtu,29.5.17,1,ch,,,,,,,,,
MH_CH_06,Lepi limi,29.5.17,1,ch,,,,350,,5,4,,
MH_CH_06,Lepi limi,29.5.17,1,ch,,,,300,,5,4,,
MH_CH_06,Lepy scar,29.5.17,1,ch,,,,,,,,,
MH_CH_06,Lept gran,29.5.17,1,ch,,,,20,,2,2,,
MH_CH_06,Ptil deus,29.5.17,1,ch,,,,130,,1,1,,
MH_CH_06,Ptil deus,29.5.17,1,ch,,,,,,,,,
MH_CH_06,Tetr turf,29.5.17,1,ch,,,,360,,2,2,,
MH_CH_06,Tetr turf,29.5.17,1,ch,,,,,,,,,
MH_CH_06,Unknown sedge,29.5.17,1,ch,,,,250,,2,1,,
MH_CH_06,Unknown sedge,29.5.17,1,ch,,,,160,,2,1,,
MH_CH_07,Baec lini,29.5.17,1,ch,,,,3,,1,1,,
MH_CH_07,Baec lini,29.5.17,1,ch,,,,,,,,,
MH_CH_07,Bank eric,26.5.17,1,ch,,,,110,,3,5,,
MH_CH_07,Chor spha,26.5.17,1,ch,,,,1270,,6,4,,
MH_CH_07,Chor spha,26.5.17,1,ch,,,,710,,5,5,,
MH_CH_07,Empo minu,26.5.17,1,ch,,,,120,,3,2,,
MH_CH_07,Empo minu,26.5.17,1,ch,,,,80,,2,5,,
MH_CH_07,Empo minu,26.5.17,1,ch,,,,150,,2,2,,
MH_CH_07,Empo minu,26.5.17,1,ch,,,,70,,2,3,,
MH_CH_07,Empo minu,26.5.17,1,ch,,,,10,,2,3,,
MH_CH_07,Empo minu,26.5.17,1,ch,,,,220,,2,3,,
MH_CH_07,Epac obtu,26.5.17,1,ch,,,,140,,2,3,,
MH_CH_07,Epac obtu,26.5.17,1,ch,,,,210,,2,3,,
MH_CH_07,Epac obtu,26.5.17,1,ch,,,,110,,2,3,,
MH_CH_07,Epac obtu,26.5.17,1,ch,,,,90,,2,3,,
MH_CH_07,Epac obtu,26.5.17,1,ch,,,,,,,,,
MH_CH_07,Epac obtu,26.5.17,1,ch,,,,,,,,,
MH_CH_07,Hake tere,26.5.17,1,ch,,,,60,,3,3,,
MH_CH_07,Lepi limi,26.5.17,1,ch,,,,410,,5,4,,
MH_CH_07,Lepi limi,26.5.17,1,ch,,,,550,,5,4,,
MH_CH_07,Lepi limi,26.5.17,1,ch,,,,540,,5,4,,
MH_CH_07,Lepi limi,26.5.17,1,ch,,,,570,,5,4,,
MH_CH_07,Pult diva,26.5.17,1,ch,,,,90,,3,3,,
MH_CH_07,Pult diva,26.5.17,1,ch,,,,,,,,,
MH_CH_08,Acac ptyc,22.5.17,1,ch,,,,,,,,,
MH_CH_08,Baec lini,22.5.17,1,ch,,,,,,,,,
MH_CH_08,Chor spha,22.5.17,1,ch,,,,960,,5,5,,
MH_CH_08,Chor spha,22.5.17,1,ch,,,,150,,6,6,,
MH_CH_08,Chor spha,22.5.17,1,ch,,,,50,,6,6,,
MH_CH_08,Lepi limi,22.5.17,1,ch,,,,460,,8,5,,
MH_CH_08,Lepi limi,22.5.17,1,ch,,,,,,,,,
MH_CH_08,Lept juni,22.5.17,1,ch,,,,100,,10,10,,
MH_CH_08,Lept juni,22.5.17,1,ch,,,,20,,3,3,,
MH_CH_09,Acac ptyc,22.5.17,1,ch,,,,,,,,,
MH_CH_09,Chor spha,22.5.17,1,ch,,,,,,,,,
MH_CH_09,Chor spha,22.5.17,1,ch,,,,,,,,,
MH_CH_09,Epac obtu,1.6.17,1,ch,,,,120,,1,2,,
MH_CH_09,Epac obtu,1.6.17,1,ch,,,,110,,1,2,,
MH_CH_09,Epac obtu,1.6.17,1,ch,,,,30,,1,2,,
MH_CH_09,Gymn spha,1.6.17,1,ch,,,,440,,5,3,,
MH_CH_09,Gymn spha,1.6.17,1,ch,,,,350,,10,5,,
MH_CH_10,Acac ptyc,1.6.17,1,ch,,,,130,,2,3,,
MH_CH_10,Dros spat,1.6.17,1,ch,,,,,,,,,
MH_CH_10,Dros spat,1.6.17,1,ch,,,,,,,,,
MH_CH_10,Empo minu,1.6.17,1,ch,,,,,,,,,
MH_CH_10,Epac obtu,1.6.17,1,ch,,2,,140,,1,2,,
MH_CH_10,Epac obtu,1.6.17,1,ch,,3,,70,,1,2,,
MH_CH_10,Epac obtu,1.6.17,1,ch,,,,10,,1,2,,
MH_CH_10,Epac obtu,1.6.17,1,ch,,,,,,,,,
MH_CH_10,Epac obtu,1.6.17,1,ch,,,,,,,,,
MH_CH_10,Epac obtu,1.6.17,1,ch,,,,,,,,,
MH_CH_10,Epac obtu,1.6.17,1,ch,,,,,,,,,
MH_CH_10,Epac obtu,1.6.17,1,ch,,,,,,,,,
MH_CH_10,Pult diva,1.6.17,1,ch,,,,90,,1,2,,
MH_CH_10,Tetr turf,1.6.17,1,ch,,,,130,,2,2,,
MH_CH_10,Xyri ustu,1.6.17,1,ch,,,,390,,18,6,,
MH_CH_10,Xyri ustu,1.6.17,1,ch,,,,,,,,,
MH_CH_11,Bank eric,22.5.17,1,ch,,,,70,,2,6,,
MH_CH_11,Chor spha,22.5.17,1,ch,,,,70,,5,5,,
MH_CH_11,Epac obtu,22.5.17,1,ch,,5,,130,,2,2,,
MH_CH_11,Epac obtu,22.5.17,1,ch,,5,,80,,2,2,,
MH_CH_11,Epac obtu,22.5.17,1,ch,,4,,50,,2,2,,
MH_CH_11,Epac obtu,22.5.17,1,ch,,,,,,,,,
MH_CH_11,Epac obtu,22.5.17,1,ch,,,,,,,,,
MH_CH_11,Epac obtu,22.5.17,1,ch,,,,,,,,,
MH_CH_11,Epac obtu,22.5.17,1,ch,,,,,,,,,
MH_CH_11,Epac obtu,22.5.17,1,ch,,,,,,,,,
MH_CH_11,Epac obtu,22.5.17,1,ch,,,,,,,,,
MH_CH_11,Epac obtu,22.5.17,1,ch,,,,,,,,,
MH_CH_11,Epac obtu,22.5.17,1,ch,,,,,,,,,
MH_CH_11,Epac obtu,22.5.17,1,ch,,,,,,,,,
MH_CH_11,Epac obtu,22.5.17,1,ch,,,,,,,,,
MH_CH_11,Epac obtu,22.5.17,1,ch,,,,,,,,,
MH_CH_11,Epac obtu,22.5.17,1,ch,,,,,,,,,
MH_CH_11,Epac obtu,22.5.17,1,ch,,,,,,,,,
MH_CH_11,Glei dica,22.5.17,1,ch,,,,,,,,,
MH_CH_11,Lepi limi,22.5.17,1,ch,,,,340,,6,4,,
MH_CH_11,Lepi limi,22.5.17,1,ch,,,,,,,,,
MH_CH_11,Pult diva,22.5.17,1,ch,,,,,,,,,
MH_CH_11,Pult diva,22.5.17,1,ch,,,,70,,2,2,,
MH_CH_11,Pult diva,22.5.17,1,ch,,,,,,,,,
MH_CH_11,Xyri oper,22.5.17,1,ch,,,,,,,,,
MH_CH_11,Xyri oper,22.5.17,1,ch,,,,,,,,,
MH_CH_11,Xyri ustu,22.5.17,1,ch,,,,310,,4,3,,
MH_CH_11,Xyri ustu,22.5.17,1,ch,,,,350,,5,4,,
MH_CH_12,Acac ptyc,26.5.17,1,ch,,,,,,,,,
MH_CH_12,Baum tere,26.5.17,1,ch,,,,,,,,,
MH_CH_12,Chor spha,26.5.17,1,ch,,,,810,,6,5,,
MH_CH_12,Chor spha,26.5.17,1,ch,,,,840,,5,5,,
MH_CH_12,Empo minu,26.5.17,1,ch,,,,200,,1,1,,
MH_CH_12,Empo minu,26.5.17,1,ch,,,,570,,2,2,,
MH_CH_12,Epac obtu,26.5.17,1,ch,,,,80,,2,2,,
MH_CH_12,Epac obtu,26.5.17,1,ch,,,,70,,2,2,,
MH_CH_12,Epac obtu,26.5.17,1,ch,,,,30,,2,2,,
MH_CH_12,Epac obtu,26.5.17,1,ch,,,,10,,2,2,,
MH_CH_12,Epac obtu,26.5.17,1,ch,,,,40,,2,2,,
MH_CH_12,Epac obtu,26.5.17,1,ch,,,,,,,,,
MH_CH_12,Grass or sedge,26.5.17,1,ch,,,,,,,,,
MH_CH_12,Gono micr,26.5.17,1,ch,,,,,,,,,
MH_CH_12,Lepi limi,26.5.17,1,ch,,,,480,,4,4,,
MH_CH_12,Lepi limi,26.5.17,1,ch,,,,440,,5,5,,
MH_CH_12,Ptil deus,26.5.17,1,ch,,,,,,,,,
MH_CH_12,Ptil deus,26.5.17,1,ch,,,,,,,,,
MH_CH_13,Acac ptyc,22.5.17,1,ch,,,,,,,,,
MH_CH_13,Acac ptyc,22.5.17,1,ch,,,,,,,,,
MH_CH_13,Chor spha,22.5.17,1,ch,,,,400,,5,4,,
MH_CH_13,Chor spha,22.5.17,1,ch,,2,,360,,5,4,,
MH_CH_13,Chor spha,22.5.17,1,ch,,,,,,,,,
MH_CH_13,Empo minu,22.5.17,1,ch,,,,140,,25,20,,
MH_CH_13,Empo minu,22.5.17,1,ch,,,,,,,,,
MH_CH_13,Epac obtu,22.5.17,1,ch,,2,,10,,2,2,,
MH_CH_13,Epac obtu,22.5.17,1,ch,,,,,,,,,
MH_CH_13,Sedge?,22.5.17,1,ch,,,,,,,,,
MH_CH_14,Acac ptyc,29.5.17,1,ch,,,,70,,1,2,,
MH_CH_14,Acac ptyc,29.5.17,1,ch,,,,,,,,,
MH_CH_14,Baec lini,29.5.17,1,ch,,,,60,,1,2,,
MH_CH_14,Baec lini,29.5.17,1,ch,,,,,,,,,
MH_CH_14,Baec lini,29.5.17,1,ch,,,,,,,,,
MH_CH_14,Baec lini,29.5.17,1,ch,,,,,,,,,
MH_CH_14,Baec lini,29.5.17,1,ch,,,,,,,,,
MH_CH_14,Empo minu,29.5.17,1,ch,,,,230,,2,2,,
MH_CH_14,Empo minu,29.5.17,1,ch,,,,,,,,,
MH_CH_14,Epac obtu,29.5.17,1,ch,,2,,100,,2,2,,
MH_CH_14,Epac obtu,29.5.17,1,ch,,,,10,,2,2,,
MH_CH_14,Epac obtu,29.5.17,1,ch,,,,,,,,,
MH_CH_14,Epac obtu,29.5.17,1,ch,,,,,,,,,
MH_CH_14,Epac obtu,29.5.17,1,ch,,,,,,,,,
MH_CH_14,Epac obtu,29.5.17,1,ch,,,,,,,,,
MH_CH_14,Hake tere,29.5.17,1,ch,,,,90,,2,5,,
MH_CH_14,Xyri ustu,29.5.17,1,ch,,,,380,,15,10,,
MH_CH_14,Xyri ustu,29.5.17,1,ch,,,,260,,3,2,,
MH_CH_14,Xyri ustu,29.5.17,1,ch,,,,,,,,,
MH_CH_14,Xyri ustu,29.5.17,1,ch,,,,,,,,,
MH_CH_15,Acac ptyc,22.5.17,1,ch,,,,,,,,,
MH_CH_15,Empo minu,22.5.17,1,ch,,,,140,,3,1,,
MH_CH_15,Empo minu,22.5.17,1,ch,,,,80,,5,2,,
MH_CH_15,Empo minu,22.5.17,1,ch,,,,140,,8,3,,
MH_CH_15,Lepi limi,22.5.17,1,ch,,,,63,,10,10,,
MH_CH_15,Lepi limi,22.5.17,1,ch,,,,73,,8,5,,
MH_CH_15,Lepi limi,22.5.17,1,ch,,,,64,,8,5,,
MH_CH_15,Lepi limi,22.5.17,1,ch,,,,,,,,,
MH_CH_15,Lept juni,22.5.17,1,ch,,,,50,,3,3,,
MH_CH_15,Utri late,22.5.17,1,ch,,,,100,,1,1,,
MH_CH_16,Acac ptyc,22.5.17,1,ch,,,,170,,3,3,,
MH_CH_16,Acac ptyc,22.5.17,1,ch,,,,,,,,,
MH_CH_16,Acac ptyc,22.5.17,1,ch,,,,,,,,,
MH_CH_16,Acac ptyc,22.5.17,1,ch,,,,,,,,,
MH_CH_16,Chor spha,22.5.17,1,ch,,2,,120,,5,5,,
MH_CH_16,Chor spha,22.5.17,1,ch,,,,730,,5,5,,
MH_CH_16,Chor spha,22.5.17,1,ch,,,,90,,5,5,,
MH_CH_16,Chor spha,22.5.17,1,ch,,,,,,,,,
MH_CH_16,Empo minu,22.5.17,1,ch,,,,200,,8,8,,
MH_CH_16,Empo minu,22.5.17,1,ch,,,,,,,,,
MH_CH_16,Epac obtu,22.5.17,1,ch,,4,,220,,2,2,,
MH_CH_16,Epac obtu,22.5.17,1,ch,,10,,130,,2,2,,
MH_CH_16,Epac obtu,22.5.17,1,ch,,10,,100,,2,2,,
MH_CH_16,Epac obtu,22.5.17,1,ch,,,,,,,,,
MH_CH_16,Epac obtu,22.5.17,1,ch,,,,,,,,,
MH_CH_16,Epac obtu,22.5.17,1,ch,,,,,,,,,
MH_CH_16,Epac obtu,22.5.17,1,ch,,,,,,,,,
MH_CH_16,Epac obtu,22.5.17,1,ch,,,,,,,,,
MH_CH_16,Epac obtu,22.5.17,1,ch,,,,,,,,,
MH_CH_16,Epac obtu,22.5.17,1,ch,,,,,,,,,
MH_CH_16,Epac obtu,22.5.17,1,ch,,,,,,,,,
MH_CH_16,Epac obtu,22.5.17,1,ch,,,,,,,,,
MH_CH_16,Epac obtu,22.5.17,1,ch,,,,,,,,,
MH_CH_16,Epac obtu,22.5.17,1,ch,,,,,,,,,
MH_CH_16,Epac obtu,22.5.17,1,ch,,,,,,,,,
MH_CH_16,Epac obtu,22.5.17,1,ch,,,,,,,,,
MH_CH_16,Epac obtu,22.5.17,1,ch,,,,,,,,,
MH_CH_16,Epac obtu,22.5.17,1,ch,,,,,,,,,
MH_CH_16,Epac obtu,22.5.17,1,ch,,,,,,,,,
MH_CH_16,Epac obtu,22.5.17,1,ch,,,,,,,,,
MH_CH_16,Epac obtu,22.5.17,1,ch,,,,,,,,,
MH_CH_16,Epac obtu,22.5.17,1,ch,,,,,,,,,
MH_CH_16,Epac obtu,22.5.17,1,ch,,,,,,,,,
MH_CH_16,Epac obtu,22.5.17,1,ch,,,,,,,,,
MH_CH_16,Epac obtu,22.5.17,1,ch,,,,,,,,,
MH_CH_16,Gono micr,22.5.17,1,ch,,,,,,,,,
MH_CH_16,Gymn spha,22.5.17,1,ch,,,,,,,,,
MH_CH_16,Lepi limi,22.5.17,1,ch,,,,600,,4,3,,
MH_CH_16,Lepi limi,22.5.17,1,ch,,,,510,,4,3,,
MH_CH_16,Xyri ustu,22.5.17,1,ch,,,,180,,3,3,,
MH_CH_16,Xyri ustu,22.5.17,1,ch,,,,340,,3,3,,
MH_CH_16,Xyri ustu,22.5.17,1,ch,,,,410,,3,3,,
MH_CH_17,Acac ptyc,26.5.17,1,ch,,,,,,,,,
MH_CH_17,Baec lini,26.5.17,1,ch,,,,140,,10,20,,
MH_CH_17,Baec lini,26.5.17,1,ch,,,,180,,10,8,,
MH_CH_17,Baec lini,26.5.17,1,ch,,,,40,,20,10,,
MH_CH_17,Cass pube,26.5.17,1,ch,,,,,,,,,
MH_CH_17,Empo minu,26.5.17,1,ch,,,,10,,1,1,,
MH_CH_17,Xyri ustu,26.5.17,1,ch,,,,240,,8,5,,
MH_CH_17,Xyri ustu,26.5.17,1,ch,,,,280,,6,5,,
MH_CH_17,Xyri ustu,26.5.17,1,ch,,,,280,,5,2,,
MH_CH_18,Baec lini,22.5.18,1,ch,,,,,,,,,
MH_CH_18,Dros spat,22.5.18,1,ch,,,,,,,,,
MH_CH_18,Empo minu,22.5.18,1,ch,,,,150,,2,1,,
MH_CH_18,Empo minu,22.5.18,1,ch,,,,,,,,,
MH_CH_18,Epac obtu,22.5.18,1,ch,,,,,,,,,
MH_CH_18,Lepi limi,22.5.18,1,ch,,,,590,,10,8,,
MH_CH_18,Lepi limi,22.5.18,1,ch,,,,500,,10,8,,
MH_CH_18,Lepi limi,22.5.18,1,ch,,,,340,,8,6,,
MH_CH_18,Lepi limi,22.5.18,1,ch,,,,330,,8,6,,
MH_CH_18,Lepi limi,22.5.18,1,ch,,,,370,,8,6,,
MH_CH_18,Lepi limi,22.5.18,1,ch,,,,130,,8,3,,
MH_CH_18,Glei dica,22.5.18,1,ch,,,,,,,,,
MH_CH_18,Glei dica,22.5.18,1,ch,,,,,,,,,
MH_CH_18,Come retu,22.5.18,1,ch,,,,,,,,,
MH_CH_18,Pult diva,22.5.18,1,ch,,,,,,,,,
MH_CH_19,Bank eric,29.5.17,1,ch,,,,100,,2,2,,
MH_CH_19,Baum rubi,29.5.17,1,ch,,,,,,,,,
MH_CH_19,Baum rubi,29.5.17,1,ch,,,,,,,,,
MH_CH_19,Gymn spha,29.5.17,1,ch,,,,,,,,,
MH_CH_19,Dros bina,29.5.17,1,ch,,,,100,,3,3,,
MH_CH_19,Dros bina,29.5.17,1,ch,,,,210,,4,3,,
MH_CH_19,Dros bina,29.5.17,1,ch,,,,270,,5,3,,
MH_CH_19,Dros spat,29.5.17,1,ch,,,,,,,,,
MH_CH_19,Dros spat,29.5.17,1,ch,,,,,,,,,
MH_CH_19,Empo minu,29.5.17,1,ch,,,,,,,,,
MH_CH_19,Empo minu,29.5.17,1,ch,,,,,,,,,
MH_CH_19,Empo minu,29.5.17,1,ch,,,,,,,,,
MH_CH_19,Epac obtu,29.5.17,1,ch,,,,80,,2,2,,
MH_CH_19,Epac obtu,29.5.17,1,ch,,,,140,,2,2,,
MH_CH_19,Epac obtu,29.5.17,1,ch,,,,,,,,,
MH_CH_19,Epac obtu,29.5.17,1,ch,,,,,,,,,
MH_CH_19,Lept juni,29.5.17,1,ch,,,,200,,10,8,,
MH_CH_19,Dill flor,29.5.17,1,ch,,,,100,,2,2,,
MH_CH_19,Dill flor,29.5.17,1,ch,,,,40,,2,2,,
MH_CH_19,Gymn spha,29.5.17,1,ch,,,,,,,,,
MH_CH_20,Acac ptyc,29.5.17,1,ch,,,,,,,,,
MH_CH_20,Acac ptyc,29.5.17,1,ch,,,,,,,,,
MH_CH_20,Acac ptyc,29.5.17,1,ch,,,,,,,,,
MH_CH_20,Baum tere,29.5.17,1,ch,,,,780,,5,4,,
MH_CH_20,Chor spha,29.5.17,1,ch,,,,840,,8,4,,
MH_CH_20,Chor spha,29.5.17,1,ch,,,,,,,,,
MH_CH_20,Chor spha,29.5.17,1,ch,,,,,,,,,
MH_CH_20,Empo minu,29.5.17,1,ch,,,,50,,1,1,,
MH_CH_20,Empo minu,29.5.17,1,ch,,,,190,,4,4,,
MH_CH_20,Epac obtu,29.5.17,1,ch,,,,100,,2,2,,
MH_CH_20,Epac obtu,29.5.17,1,ch,,6,,60,,2,2,,
MH_CH_20,Epac obtu,29.5.17,1,ch,,8,,20,,2,2,,
MH_CH_20,Epac obtu,29.5.17,1,ch,,13,,40,,2,2,,
MH_CH_20,Epac obtu,29.5.17,1,ch,,,,,,,,,
MH_CH_20,Epac obtu,29.5.17,1,ch,,,,,,,,,
MH_CH_20,Epac obtu,29.5.17,1,ch,,,,,,,,,
MH_CH_20,Epac obtu,29.5.17,1,ch,,,,,,,,,
MH_CH_20,Epac obtu,29.5.17,1,ch,,,,,,,,,
MH_CH_20,Epac obtu,29.5.17,1,ch,,,,,,,,,
MH_CH_20,Epac obtu,29.5.17,1,ch,,,,,,,,,
MH_CH_20,Epac obtu,29.5.17,1,ch,,,,,,,,,
