,Sod,Time_pt,Bank eric,Baue rubi,Chor spha,Damp stri,Empo minu,Epac obtu,Tetr turf,Ento stri,Gono micr,Mitr poly,Scho brev,Dill flor,Good dimo,Lepi limi,Lept squa,Lept poly,Viol sieb,Baec imbr,Gono sals,Lept juni,Lept tena,Sela ulig,Spre inca,Symp palu,Cass pube,Mono lini,Ptil deus,Chor cymb,Dros spat,Dros pelt,Lepi nees,Lepy scar,Baum rubi,Cryp eric,Styl line,Baec lini,Dros bina,Bank oblo,Boro parv,Lepi fili,Lept gran,Stac nuda,Lepi scar,Hake tere,Lind lini,Baum tere,Cony albi,Gahn sieb,Glei dica,Gono teuc,Isol inun,Junc plan,Deye deci,Glei micr,Utri late,Mela squa,Gymn spha,Vimi junc,Xyri oper,Cent fasc,Poma ferr,Ager aden,Andro virgi,Acac rubi,Blan nobi,Xyri ustu,Good bell,Thys junc,Eury comp,Xant resi,Xyris oper,Mitr palu,Bank robu,Xyri junc,Call citr,Vill exal,Spor grac,Lyco late,Baum gunn,Noto micr,Grev acan,Epac palu,Loma cyli,Pult diva,Plin para,Alma incu,Come retu,Epac micr,Scae albi,Loma long,Xant pilo,Acac ptyc
11,CAT_CH_06,6,0,0,0,0,0,0,2.3557,4.3656,0,0,9.6949,0.8185,0,0,0,0,0,0,0,0,0,0,0,0,0.2443,1.0737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,CAT_CH_06,9,0,0,0,0,0,0,0,0,0,0,20.6116,10.7423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,CAT_CH_07,6,0,0,0,0,6.2363,0,0.3965,0,0,0,2.4376,0,0,46.8536,0,0,0,0,0,1.1659,0.5625,0,0,0,0,0.0423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,CAT_CH_07,9,0,0,0,0,2.1966,0,0.0892,0.0629,0,0,5.5918,0,0,33.9762,0,0,0,0,0,0.3948,0,0,0,0,0,0,0,7.8737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,CAT_CH_08,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,CAT_CH_08,9,0,0,0,0,0,0,0,0,0,0,22.1415,0,0,0,0.4775,0,0,0,0,0,46.0063,0,0,0,0,0,3.1385,0,0,0,2.2032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,CAT_CH_09,6,0.6293,0,13.9298,0,2.524,0.2101,0,0,0,0.4495,11.7921,0,0,0,0.1105,0,0,0,0,0,0,0,1.8755,0.0278,0,1.5206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,CAT_CH_09,9,0,0,14.4572,0,0.6779,0,0,1.9904,0,0,11.9056,0.2897,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,CAT_CH_10,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,CAT_CH_10,9,0,0,20.6929,0,5.2373,0,4.8947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,CAT_CH_11,6,0.0482,0,22.0795,0,3.1921,0,1.9851,0,0,0,2.6091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,CAT_CH_11,9,0,0,9.5157,0,1.4304,0,4.9015,0,0,0,5.7497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,CAT_CH_12,6,0.3672,0,25.0697,0.8735,0,0,0,0.4088,0,0.6565,3.8551,0,0.8183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1903,0,0,0,0,0,0.0159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,CAT_CH_12,9,0,0,17.5211,0,0,0,0,2.4262,0,0.0655,5.3139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,CAT_CH_13,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,CAT_CH_13,9,0,0,0,0,0,0,0.7383,0,0,0,51.2963,0,0,0,0,0,0,0,0,0,2.3947,0,0,0,0,0,2.3815,0,0,0,8.1218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,CAT_CH_14,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,CAT_CH_14,9,0,0,0,0,0,0,0,0,0,0,37.1879,0,0,0,31.957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5147,3.6607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,CAT_CH_15,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,CAT_CH_15,9,0,0,35.1945,0,0,0,0,0,0,0,4.6553,0,0,0,0.6463,0,0,0,0,0,7.2087,0,0,0,0,0,0,0,0,0,3.5119,1.2799,0,0,0,1.374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,CAT_CH_16,6,0,0,0,0,5.0299,0,0.0492,0,0,0.286,23.037,0,1.0517,0,0,0,0,0,0,0,3.0064,0,0,0,0,0,0,0,0.2395,0,1.2924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,CAT_CH_16,9,0,0,0,0,0,0,0,0,0,0,16.8852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,CAT_CH_17,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,CAT_CH_17,9,0,0,0,0,2.4751,0,1.1593,1.7656,0,0,20.8643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0302,0,2.6375,7.5377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,CAT_CH_18,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,CAT_CH_18,9,0,0,16.0748,0,7.2602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.3446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,CAT_CH_19,6,0.2852,0,0,0,2.7269,0.1261,0,0.0119,0,0,26.8099,0,0,0,0,0,1.3752,0,0,0,0,0,0,0.1195,0,0,0,0,0,0,0.2218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,CAT_CH_19,9,0,0,0,0,0,0.0108,0,0,0,0,22.2712,0,0,0,0,0,0.2505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,CAT_CH_20,6,0,0,0,0,3.9742,0.1392,0.0874,0,0,0,30.9867,0.9144,0,0,0,0,0,0,0,0,0,0,0,0.256,0,0,0,0,1.4502,0,0.8167,0,0,0.7653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,CAT_CH_20,9,0,0,0,0,1.6786,0,0.7882,0,0,0,30.1063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5062,0,1.6282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,CAT_CH_21,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,CAT_CH_21,9,0,0,0,0,6.6437,0,0.644,0.7967,0,0,9.8984,1.7261,0,0,3.7347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.2972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,CAT_CH_22,6,0,0,0,0,1.2914,0.4176,2.7648,0.0661,0,0,0,0,1.1731,0,1.3837,0,0,0.7237,0.1572,0,0,0,0,0.0612,0,0,0,0,2.2674,0,0,0,0,0,0,0,0,0.097,0,1.4165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,CAT_CH_22,9,0,0,0,0,0,4.4363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0822,0,1.0156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,CAT_CH_23,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,CAT_CH_23,9,0,0,0,0,0,0.0915,0,0.5926,0,0,16.1857,0,0,0,6.0851,0,0,0,0,0,1.8774,0.0526,0,0,0,0,8.6157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,CAT_CH_24,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,CAT_CH_24,9,0,0,1.1087,0,0,0,0,0.8827,0,0,2.6843,0.1904,0,0,2.89,0,0,2.3856,0,0,0,0,0,0,0,0,4.3662,0,0,0,0,0,0,0,0.8428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,CAT_CH_25,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,CAT_CH_25,9,0,0,19.6083,0,0.7385,0,0,4.5809,0,0,10.3453,0,0,0,0.6609,0,0,2.4917,0,0,0,0,0,0,0,0,0,0,0.1505,0,0,0,0,0,0,0.2964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,CAT_CH_26,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,CAT_CH_26,9,0,0,2.9489,0,3.4575,3.7826,1.8854,5.2532,0,0,8.746,1.2655,0,0,1.2591,0,0,0,0,0,0,0,0.9267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,CAT_CH_27,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,CAT_CH_27,9,0,0,3.8054,0,6.2796,0.5182,0.8096,1.0448,0,0,0,0,0,0,0.6382,0,0,0,0,0,21.348,0,6.7294,0,0,0.415,0,0,0,0,0,0,1.7462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,CAT_CH_28,6,0,0,14.3495,0,1.3633,0.5381,1.52,0,0,0,13.3397,0,0,0,0.3229,0,0,0,0,0,0,0.0387,0.6954,0,0.0463,0.9453,0,0,0.0483,0,0,0,4.1458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,CAT_CH_28,9,0,0,14.0518,0.0754,0.8772,0,0,2.4039,0,0,15.1319,0,0,0,0,0,0,0,0,0,0,0.021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,CAT_CH_29,6,0,0,3.6724,0.91,1.5108,0.6478,0.1667,0,0,0.0816,10.4535,0,0.0993,0,0.3483,0,0,0,0,0,0,0.2976,0.4848,0.4034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,CAT_CH_29,9,0,0,1.3998,0,0.3932,0,0,0,0,0,12.0948,0.9466,0,0,0,0,0,0,0,0,0,1.1044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,CAT_CH_30,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,CAT_CH_30,9,0,0,1.7525,0,0.0355,0,0,0,0,0,24.3969,0,0,0,1.807,0,0,14.0197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
