,Sod,Swamp,Median_time_pt,veg,water_treatment,fire_treatment,Sod_biomass
275,KT_CH_14,KT,592,ch,M,b,38.3992
277,KT_CH_15,KT,592,ch,L,b,18.0143
279,KT_CH_16,KT,592,ch,M,b,16.2597
285,KT_CH_19,KT,592,ch,L,b,15.6855
287,KT_CH_20,KT,592,ch,H,b,14.2546
291,KT_CH_22,KT,592,ch,H,b,30.0472
293,KT_CH_23,KT,592,ch,M,b,6.644
295,KT_CH_24,KT,592,ch,L,b,13.5271
297,KT_CH_25,KT,592,ch,M,b,11.546
299,KT_CH_26,KT,592,ch,H,b,10.1623
301,KT_CH_27,KT,592,ch,M,b,16.8101
309,KT_CH_31,KT,592,ch,L,b,19.924
311,KT_TT_01,KT,592,tt,H,b,25.9894
313,KT_TT_02,KT,592,tt,L,b,12.1017
321,KT_TT_06,KT,592,tt,L,b,45.4376
325,KT_TT_08,KT,592,tt,H,b,29.2881
327,KT_TT_09,KT,592,tt,M,b,21.4722
329,KT_TT_10,KT,592,tt,M,b,13.1872
331,KT_TT_11,KT,592,tt,M,b,16.9178
333,KT_TT_12,KT,592,tt,H,b,12.7377
339,KT_TT_15,KT,592,tt,H,b,16.9069
341,KT_TT_16,KT,592,tt,H,b,69.1771
357,KT_TT_24,KT,592,tt,L,b,25.4865
359,KT_TT_25,KT,592,tt,M,b,28.0735
363,KT_TT_27,KT,592,tt,M,b,74.8714
367,KT_TT_29,KT,592,tt,L,b,21.6738
369,KT_TT_30,KT,592,tt,L,b,33.1622
370,KT_TT_31,KT,592,tt,L,b,39.1357
372,MH_CH_01,MH,592,ch,H,b,22.3449
382,MH_CH_06,MH,592,ch,M,b,17.9832
388,MH_CH_09,MH,592,ch,L,b,20.457
390,MH_CH_10,MH,592,ch,M,b,34.8945
394,MH_CH_12,MH,592,ch,M,b,44.6685
396,MH_CH_13,MH,592,ch,L,b,35.3628
402,MH_CH_16,MH,592,ch,H,b,39.4158
410,MH_CH_20,MH,592,ch,L,b,32.3046
412,MH_CH_21,MH,592,ch,M,b,38.4087
414,MH_CH_22,MH,592,ch,H,b,16.4782
416,MH_CH_23,MH,592,ch,H,b,35.9611
418,MH_CH_24,MH,592,ch,L,b,19.4326
424,MH_CH_27,MH,592,ch,M,b,27.978
426,MH_CH_28,MH,592,ch,H,b,37.2312
430,MH_CH_30,MH,592,ch,L,b,32.4696
432,MH_CH_31,MH,592,ch,M,b,19.8728
434,MH_TT_01,MH,592,tt,M,b,51.9872
444,MH_TT_06,MH,592,tt,L,b,42.15
446,MH_TT_07,MH,592,tt,L,b,14.1015
448,MH_TT_08,MH,592,tt,H,b,58.7456
454,MH_TT_11,MH,592,tt,H,b,39.3044
460,MH_TT_14,MH,592,tt,M,b,25.5964
472,MH_TT_20,MH,592,tt,H,b,15.9575
474,MH_TT_21,MH,592,tt,L,b,60.3838
476,MH_TT_22,MH,592,tt,L,b,74.9344
480,MH_TT_24,MH,592,tt,H,b,35.4613
484,MH_TT_26,MH,592,tt,H,b,11.2988
486,MH_TT_27,MH,592,tt,M,b,39.3012
488,MH_TT_28,MH,592,tt,M,b,40.4952
492,MH_TT_30,MH,592,tt,L,b,0
494,MH_TT_31,MH,592,tt,M,b,56.3265
7,CAT_CH_04,CAT,592,ch,M,ub,na
9,CAT_CH_05,CAT,592,ch,L,ub,na
15,CAT_CH_08,CAT,592,ch,H,ub,na
19,CAT_CH_10,CAT,592,ch,M,ub,na
25,CAT_CH_13,CAT,592,ch,H,ub,na
27,CAT_CH_14,CAT,592,ch,M,ub,na
29,CAT_CH_15,CAT,592,ch,H,ub,na
33,CAT_CH_17,CAT,592,ch,H,ub,na
35,CAT_CH_18,CAT,592,ch,M,ub,na
41,CAT_CH_21,CAT,592,ch,L,ub,na
45,CAT_CH_23,CAT,592,ch,H,ub,na
47,CAT_CH_24,CAT,592,ch,L,ub,na
49,CAT_CH_25,CAT,592,ch,M,ub,na
51,CAT_CH_26,CAT,592,ch,L,ub,na
53,CAT_CH_27,CAT,592,ch,M,ub,na
59,CAT_CH_30,CAT,592,ch,L,ub,na
63,CAT_TT_01,CAT,592,tt,L,ub,na
69,CAT_TT_04,CAT,592,tt,L,ub,na
73,CAT_TT_06,CAT,592,tt,H,ub,na
75,CAT_TT_07,CAT,592,tt,L,ub,na
79,CAT_TT_09,CAT,592,tt,H,ub,na
83,CAT_TT_11,CAT,592,tt,H,ub,na
85,CAT_TT_12,CAT,592,tt,H,ub,na
89,CAT_TT_14,CAT,592,tt,M,ub,na
97,CAT_TT_18,CAT,592,tt,M,ub,na
101,CAT_TT_20,CAT,592,tt,H,ub,na
103,CAT_TT_21,CAT,592,tt,L,ub,na
105,CAT_TT_22,CAT,592,tt,H,ub,na
107,CAT_TT_23,CAT,592,tt,M,ub,na
109,CAT_TT_24,CAT,592,tt,L,ub,na
111,CAT_TT_25,CAT,592,tt,M,ub,na
115,CAT_TT_27,CAT,592,tt,M,ub,na
125,DMP_CH_01,DMP,592,ch,L,ub,na
133,DMP_CH_05,DMP,592,ch,H,ub,na
137,DMP_CH_07,DMP,592,ch,M,ub,na
143,DMP_CH_10,DMP,592,ch,L,ub,na
145,DMP_CH_11,DMP,592,ch,M,ub,na
147,DMP_CH_12,DMP,592,ch,M,ub,na
153,DMP_CH_15,DMP,592,ch,H,ub,na
157,DMP_CH_17,DMP,592,ch,L,ub,na
159,DMP_CH_18,DMP,592,ch,L,ub,na
163,DMP_CH_20,DMP,592,ch,H,ub,na
167,DMP_CH_22,DMP,592,ch,H,ub,na
169,DMP_CH_23,DMP,592,ch,H,ub,na
173,DMP_CH_25,DMP,592,ch,L,ub,na
181,DMP_CH_29,DMP,592,ch,M,ub,na
183,DMP_CH_30,DMP,592,ch,M,ub,na
191,DMP_TT_03,DMP,592,tt,M,ub,na
193,DMP_TT_04,DMP,592,tt,H,ub,na
195,DMP_TT_05,DMP,592,tt,L,ub,na
199,DMP_TT_07,DMP,592,tt,L,ub,na
201,DMP_TT_08,DMP,592,tt,L,ub,na
207,DMP_TT_11,DMP,592,tt,H,ub,na
219,DMP_TT_17,DMP,592,tt,L,ub,na
221,DMP_TT_18,DMP,592,tt,M,ub,na
223,DMP_TT_19,DMP,592,tt,M,ub,na
225,DMP_TT_20,DMP,592,tt,M,ub,na
227,DMP_TT_21,DMP,592,tt,H,ub,na
233,DMP_TT_24,DMP,592,tt,H,ub,na
235,DMP_TT_25,DMP,592,tt,H,ub,na
237,DMP_TT_26,DMP,592,tt,M,ub,na
239,DMP_TT_27,DMP,592,tt,H,ub,na
245,DMP_TT_30,DMP,592,tt,L,ub,na
249,KT_CH_01,KT,592,ch,L,ub,na
251,KT_CH_02,KT,592,ch,M,ub,na
257,KT_CH_05,KT,592,ch,H,ub,na
259,KT_CH_06,KT,592,ch,H,ub,na
261,KT_CH_07,KT,592,ch,L,ub,na
263,KT_CH_08,KT,592,ch,M,ub,na
267,KT_CH_10,KT,592,ch,L,ub,na
269,KT_CH_11,KT,592,ch,H,ub,na
271,KT_CH_12,KT,592,ch,H,ub,na
281,KT_CH_17,KT,592,ch,M,ub,na
283,KT_CH_18,KT,592,ch,M,ub,na
289,KT_CH_21,KT,592,ch,L,ub,na
303,KT_CH_28,KT,592,ch,H,ub,na
305,KT_CH_29,KT,592,ch,L,ub,na
307,KT_CH_30,KT,592,ch,M,ub,na
315,KT_TT_03,KT,592,tt,L,ub,na
317,KT_TT_04,KT,592,tt,M,ub,na
319,KT_TT_05,KT,592,tt,L,ub,na
323,KT_TT_07,KT,592,tt,H,ub,na
335,KT_TT_13,KT,592,tt,H,ub,na
337,KT_TT_14,KT,592,tt,M,ub,na
343,KT_TT_17,KT,592,tt,H,ub,na
345,KT_TT_18,KT,592,tt,M,ub,na
347,KT_TT_19,KT,592,tt,M,ub,na
349,KT_TT_20,KT,592,tt,H,ub,na
351,KT_TT_21,KT,592,tt,L,ub,na
353,KT_TT_22,KT,592,tt,L,ub,na
355,KT_TT_23,KT,592,tt,H,ub,na
361,KT_TT_26,KT,592,tt,L,ub,na
365,KT_TT_28,KT,592,tt,M,ub,na
374,MH_CH_02,MH,592,ch,L,ub,na
376,MH_CH_03,MH,592,ch,M,ub,na
378,MH_CH_04,MH,592,ch,H,ub,na
380,MH_CH_05,MH,592,ch,L,ub,na
384,MH_CH_07,MH,592,ch,H,ub,na
386,MH_CH_08,MH,592,ch,M,ub,na
392,MH_CH_11,MH,592,ch,M,ub,na
398,MH_CH_14,MH,592,ch,M,ub,na
400,MH_CH_15,MH,592,ch,L,ub,na
404,MH_CH_17,MH,592,ch,L,ub,na
406,MH_CH_18,MH,592,ch,H,ub,na
408,MH_CH_19,MH,592,ch,H,ub,na
420,MH_CH_25,MH,592,ch,L,ub,na
422,MH_CH_26,MH,592,ch,M,ub,na
428,MH_CH_29,MH,592,ch,H,ub,na
436,MH_TT_02,MH,592,tt,M,ub,na
438,MH_TT_03,MH,592,tt,H,ub,na
440,MH_TT_04,MH,592,tt,L,ub,na
442,MH_TT_05,MH,592,tt,L,ub,na
450,MH_TT_09,MH,592,tt,H,ub,na
452,MH_TT_10,MH,592,tt,L,ub,na
456,MH_TT_12,MH,592,tt,L,ub,na
458,MH_TT_13,MH,592,tt,H,ub,na
462,MH_TT_15,MH,592,tt,H,ub,na
464,MH_TT_16,MH,592,tt,L,ub,na
466,MH_TT_17,MH,592,tt,M,ub,na
468,MH_TT_18,MH,592,tt,M,ub,na
470,MH_TT_19,MH,592,tt,M,ub,na
478,MH_TT_23,MH,592,tt,H,ub,na
482,MH_TT_25,MH,592,tt,L,ub,na
490,MH_TT_29,MH,592,tt,M,ub,na
2,CAT_CH_01,CAT,1270,ch,H,b,29.5551
4,CAT_CH_02,CAT,1270,ch,L,b,20.519
6,CAT_CH_03,CAT,1270,ch,L,b,21.0322
12,CAT_CH_06,CAT,1270,ch,L,b,31.4811
14,CAT_CH_07,CAT,1270,ch,H,b,50.1852
18,CAT_CH_09,CAT,1270,ch,M,b,29.3499
22,CAT_CH_11,CAT,1270,ch,M,b,21.5973
24,CAT_CH_12,CAT,1270,ch,H,b,25.3267
32,CAT_CH_16,CAT,1270,ch,H,b,17.3374
38,CAT_CH_19,CAT,1270,ch,M,b,22.5325
40,CAT_CH_20,CAT,1270,ch,H,b,34.7075
44,CAT_CH_22,CAT,1270,ch,L,b,5.5341
56,CAT_CH_28,CAT,1270,ch,M,b,32.5612
58,CAT_CH_29,CAT,1270,ch,L,b,15.9388
62,CAT_CH_31,CAT,1270,ch,M,b,17.4086
66,CAT_TT_02,CAT,1270,tt,M,b,8.8475
68,CAT_TT_03,CAT,1270,tt,H,b,21.7462
72,CAT_TT_05,CAT,1270,tt,H,b,24.0975
78,CAT_TT_08,CAT,1270,tt,M,b,21.5739
82,CAT_TT_10,CAT,1270,tt,L,b,0.4136
88,CAT_TT_13,CAT,1270,tt,L,b,0.0751
92,CAT_TT_15,CAT,1270,tt,L,b,4.2165
94,CAT_TT_16,CAT,1270,tt,M,b,33.2035
96,CAT_TT_17,CAT,1270,tt,M,b,9.6823
100,CAT_TT_19,CAT,1270,tt,L,b,14.0224
114,CAT_TT_26,CAT,1270,tt,H,b,7.0121
118,CAT_TT_28,CAT,1270,tt,H,b,20.2355
120,CAT_TT_29,CAT,1270,tt,L,b,3.6562
122,CAT_TT_30,CAT,1270,tt,M,b,3.6882
124,CAT_TT_31,CAT,1270,tt,H,b,36.7505
128,DMP_CH_02,DMP,1270,ch,H,b,24.1632
130,DMP_CH_03,DMP,1270,ch,L,b,11.3895
132,DMP_CH_04,DMP,1270,ch,M,b,19.2246
136,DMP_CH_06,DMP,1270,ch,L,b,20.8207
140,DMP_CH_08,DMP,1270,ch,H,b,22.8717
142,DMP_CH_09,DMP,1270,ch,M,b,20.7365
150,DMP_CH_13,DMP,1270,ch,M,b,17.6234
152,DMP_CH_14,DMP,1270,ch,L,b,4.8233
156,DMP_CH_16,DMP,1270,ch,L,b,11.6488
162,DMP_CH_19,DMP,1270,ch,H,b,36.3375
166,DMP_CH_21,DMP,1270,ch,L,b,15.8261
172,DMP_CH_24,DMP,1270,ch,M,b,19.9574
176,DMP_CH_26,DMP,1270,ch,H,b,0
178,DMP_CH_27,DMP,1270,ch,M,b,13.6049
180,DMP_CH_28,DMP,1270,ch,H,b,13.6439
186,DMP_CH_31,DMP,1270,ch,L,b,4.5575
188,DMP_TT_01,DMP,1270,tt,H,b,17.4026
190,DMP_TT_02,DMP,1270,tt,M,b,7.9169
198,DMP_TT_06,DMP,1270,tt,L,b,0.3038
204,DMP_TT_09,DMP,1270,tt,H,b,19.462
206,DMP_TT_10,DMP,1270,tt,H,b,29.6555
210,DMP_TT_12,DMP,1270,tt,H,b,20.8464
212,DMP_TT_13,DMP,1270,tt,L,b,0
214,DMP_TT_14,DMP,1270,tt,M,b,38.823
216,DMP_TT_15,DMP,1270,tt,M,b,76.2915
218,DMP_TT_16,DMP,1270,tt,M,b,19.4637
230,DMP_TT_22,DMP,1270,tt,L,b,18.7554
232,DMP_TT_23,DMP,1270,tt,L,b,0
242,DMP_TT_28,DMP,1270,tt,M,b,5.2877
244,DMP_TT_29,DMP,1270,tt,L,b,0
248,DMP_TT_31,DMP,1270,tt,H,b,26.1862
254,KT_CH_03,KT,1270,ch,H,b,3.8831
256,KT_CH_04,KT,1270,ch,L,b,0
266,KT_CH_09,KT,1270,ch,H,b,14.3461
274,KT_CH_13,KT,1270,ch,L,b,16.5938
276,KT_CH_14,KT,1270,ch,M,b,21.5613
278,KT_CH_15,KT,1270,ch,L,b,0
280,KT_CH_16,KT,1270,ch,M,b,1.8797
286,KT_CH_19,KT,1270,ch,L,b,0.9762
288,KT_CH_20,KT,1270,ch,H,b,3.2901
292,KT_CH_22,KT,1270,ch,H,b,181.6883
294,KT_CH_23,KT,1270,ch,M,b,5.6492
296,KT_CH_24,KT,1270,ch,L,b,0
298,KT_CH_25,KT,1270,ch,M,b,1.9694
300,KT_CH_26,KT,1270,ch,H,b,153.7891
302,KT_CH_27,KT,1270,ch,M,b,3.2269
310,KT_CH_31,KT,1270,ch,L,b,6.4698
312,KT_TT_01,KT,1270,tt,H,b,3.0258
314,KT_TT_02,KT,1270,tt,L,b,5.6452
322,KT_TT_06,KT,1270,tt,L,b,14.5258
326,KT_TT_08,KT,1270,tt,H,b,12.0865
328,KT_TT_09,KT,1270,tt,M,b,0.8097
330,KT_TT_10,KT,1270,tt,M,b,3.4436
332,KT_TT_11,KT,1270,tt,M,b,5.2863
334,KT_TT_12,KT,1270,tt,H,b,15.0822
340,KT_TT_15,KT,1270,tt,H,b,21.0281
342,KT_TT_16,KT,1270,tt,H,b,8.3163
358,KT_TT_24,KT,1270,tt,L,b,0
360,KT_TT_25,KT,1270,tt,M,b,12.002
364,KT_TT_27,KT,1270,tt,M,b,17.1192
368,KT_TT_29,KT,1270,tt,L,b,0
371,KT_TT_31,KT,1270,tt,L,b,0
373,MH_CH_01,MH,1270,ch,H,b,10.5764
383,MH_CH_06,MH,1270,ch,M,b,0
389,MH_CH_09,MH,1270,ch,L,b,7.9196
391,MH_CH_10,MH,1270,ch,M,b,7.1169
395,MH_CH_12,MH,1270,ch,M,b,39.9495
397,MH_CH_13,MH,1270,ch,L,b,1.4471
403,MH_CH_16,MH,1270,ch,H,b,23.3356
411,MH_CH_20,MH,1270,ch,L,b,18.4733
413,MH_CH_21,MH,1270,ch,M,b,27.3266
415,MH_CH_22,MH,1270,ch,H,b,3.797
417,MH_CH_23,MH,1270,ch,H,b,22.7784
419,MH_CH_24,MH,1270,ch,L,b,29.2275
425,MH_CH_27,MH,1270,ch,M,b,26.0208
427,MH_CH_28,MH,1270,ch,H,b,27.6578
431,MH_CH_30,MH,1270,ch,L,b,10.5656
433,MH_CH_31,MH,1270,ch,M,b,6.1854
435,MH_TT_01,MH,1270,tt,M,b,13.937
445,MH_TT_06,MH,1270,tt,L,b,11.2579
447,MH_TT_07,MH,1270,tt,L,b,35.5331
449,MH_TT_08,MH,1270,tt,H,b,6.8397
455,MH_TT_11,MH,1270,tt,H,b,6.3789
461,MH_TT_14,MH,1270,tt,M,b,13.1109
473,MH_TT_20,MH,1270,tt,H,b,17.9739
475,MH_TT_21,MH,1270,tt,L,b,2.1778
477,MH_TT_22,MH,1270,tt,L,b,11.3245
481,MH_TT_24,MH,1270,tt,H,b,16.7637
485,MH_TT_26,MH,1270,tt,H,b,1.9312
487,MH_TT_27,MH,1270,tt,M,b,31.1677
489,MH_TT_28,MH,1270,tt,M,b,6.5575
493,MH_TT_30,MH,1270,tt,L,b,0
495,MH_TT_31,MH,1270,tt,M,b,1.7049
8,CAT_CH_04,CAT,1270,ch,M,ub,32.8836
10,CAT_CH_05,CAT,1270,ch,L,ub,30.508
16,CAT_CH_08,CAT,1270,ch,H,ub,73.967
20,CAT_CH_10,CAT,1270,ch,M,ub,30.8249
26,CAT_CH_13,CAT,1270,ch,H,ub,64.9326
28,CAT_CH_14,CAT,1270,ch,M,ub,76.3203
30,CAT_CH_15,CAT,1270,ch,H,ub,53.8706
34,CAT_CH_17,CAT,1270,ch,H,ub,36.4697
36,CAT_CH_18,CAT,1270,ch,M,ub,36.6796
42,CAT_CH_21,CAT,1270,ch,L,ub,32.7408
46,CAT_CH_23,CAT,1270,ch,H,ub,33.5006
48,CAT_CH_24,CAT,1270,ch,L,ub,15.3507
50,CAT_CH_25,CAT,1270,ch,M,ub,38.8725
52,CAT_CH_26,CAT,1270,ch,L,ub,29.5249
54,CAT_CH_27,CAT,1270,ch,M,ub,43.3344
60,CAT_CH_30,CAT,1270,ch,L,ub,42.0116
64,CAT_TT_01,CAT,1270,tt,L,ub,0
70,CAT_TT_04,CAT,1270,tt,L,ub,38.4356
74,CAT_TT_06,CAT,1270,tt,H,ub,28.8207
76,CAT_TT_07,CAT,1270,tt,L,ub,9.4898
80,CAT_TT_09,CAT,1270,tt,H,ub,17.6307
84,CAT_TT_11,CAT,1270,tt,H,ub,20.3189
86,CAT_TT_12,CAT,1270,tt,H,ub,25.136
90,CAT_TT_14,CAT,1270,tt,M,ub,55.9104
98,CAT_TT_18,CAT,1270,tt,M,ub,28.3543
102,CAT_TT_20,CAT,1270,tt,H,ub,39.6246
104,CAT_TT_21,CAT,1270,tt,L,ub,20.2064
106,CAT_TT_22,CAT,1270,tt,H,ub,30.0816
108,CAT_TT_23,CAT,1270,tt,M,ub,38.1235
110,CAT_TT_24,CAT,1270,tt,L,ub,24.543
112,CAT_TT_25,CAT,1270,tt,M,ub,38.3734
116,CAT_TT_27,CAT,1270,tt,M,ub,25.3482
126,DMP_CH_01,DMP,1270,ch,L,ub,26.5976
134,DMP_CH_05,DMP,1270,ch,H,ub,46.4121
138,DMP_CH_07,DMP,1270,ch,M,ub,22.5224
144,DMP_CH_10,DMP,1270,ch,L,ub,10.1792
146,DMP_CH_11,DMP,1270,ch,M,ub,26.9303
148,DMP_CH_12,DMP,1270,ch,M,ub,31.1952
154,DMP_CH_15,DMP,1270,ch,H,ub,61.3147
158,DMP_CH_17,DMP,1270,ch,L,ub,16.7424
160,DMP_CH_18,DMP,1270,ch,L,ub,26.5633
164,DMP_CH_20,DMP,1270,ch,H,ub,48.9443
168,DMP_CH_22,DMP,1270,ch,H,ub,29.3248
170,DMP_CH_23,DMP,1270,ch,H,ub,8.9756
174,DMP_CH_25,DMP,1270,ch,L,ub,18.4207
182,DMP_CH_29,DMP,1270,ch,M,ub,34.3097
184,DMP_CH_30,DMP,1270,ch,M,ub,40.4758
192,DMP_TT_03,DMP,1270,tt,M,ub,25.2763
194,DMP_TT_04,DMP,1270,tt,H,ub,48.5498
196,DMP_TT_05,DMP,1270,tt,L,ub,4.7782
200,DMP_TT_07,DMP,1270,tt,L,ub,7.3344
202,DMP_TT_08,DMP,1270,tt,L,ub,9.5825
208,DMP_TT_11,DMP,1270,tt,H,ub,53.8173
220,DMP_TT_17,DMP,1270,tt,L,ub,0.699
222,DMP_TT_18,DMP,1270,tt,M,ub,30.2485
224,DMP_TT_19,DMP,1270,tt,M,ub,43.867
226,DMP_TT_20,DMP,1270,tt,M,ub,47.0381
228,DMP_TT_21,DMP,1270,tt,H,ub,67.5083
234,DMP_TT_24,DMP,1270,tt,H,ub,16.7853
236,DMP_TT_25,DMP,1270,tt,H,ub,19.2444
238,DMP_TT_26,DMP,1270,tt,M,ub,61.1155
240,DMP_TT_27,DMP,1270,tt,H,ub,44.483
246,DMP_TT_30,DMP,1270,tt,L,ub,15.9453
250,KT_CH_01,KT,1270,ch,L,ub,0
252,KT_CH_02,KT,1270,ch,M,ub,24.0553
258,KT_CH_05,KT,1270,ch,H,ub,25.0276
260,KT_CH_06,KT,1270,ch,H,ub,18.1762
262,KT_CH_07,KT,1270,ch,L,ub,0
264,KT_CH_08,KT,1270,ch,M,ub,18.2696
268,KT_CH_10,KT,1270,ch,L,ub,29.4389
270,KT_CH_11,KT,1270,ch,H,ub,377.6574
272,KT_CH_12,KT,1270,ch,H,ub,216.3001
282,KT_CH_17,KT,1270,ch,M,ub,36.7984
284,KT_CH_18,KT,1270,ch,M,ub,26.6243
290,KT_CH_21,KT,1270,ch,L,ub,13.5225
304,KT_CH_28,KT,1270,ch,H,ub,31.9963
306,KT_CH_29,KT,1270,ch,L,ub,3.0385
308,KT_CH_30,KT,1270,ch,M,ub,27.6088
316,KT_TT_03,KT,1270,tt,L,ub,12.083
318,KT_TT_04,KT,1270,tt,M,ub,26.1764
320,KT_TT_05,KT,1270,tt,L,ub,10.2962
324,KT_TT_07,KT,1270,tt,H,ub,13.1622
336,KT_TT_13,KT,1270,tt,H,ub,13.6165
338,KT_TT_14,KT,1270,tt,M,ub,24.4394
344,KT_TT_17,KT,1270,tt,H,ub,16.0172
346,KT_TT_18,KT,1270,tt,M,ub,36.8314
348,KT_TT_19,KT,1270,tt,M,ub,62.5023
350,KT_TT_20,KT,1270,tt,H,ub,155.9867
352,KT_TT_21,KT,1270,tt,L,ub,10.037
354,KT_TT_22,KT,1270,tt,L,ub,15.844
356,KT_TT_23,KT,1270,tt,H,ub,5.1764
362,KT_TT_26,KT,1270,tt,L,ub,15.7773
366,KT_TT_28,KT,1270,tt,M,ub,14.8976
375,MH_CH_02,MH,1270,ch,L,ub,5.876
377,MH_CH_03,MH,1270,ch,M,ub,28.5291
379,MH_CH_04,MH,1270,ch,H,ub,23.6624
381,MH_CH_05,MH,1270,ch,L,ub,25.5073
385,MH_CH_07,MH,1270,ch,H,ub,49.1086
387,MH_CH_08,MH,1270,ch,M,ub,34.7526
393,MH_CH_11,MH,1270,ch,M,ub,17.4716
399,MH_CH_14,MH,1270,ch,M,ub,37.4736
401,MH_CH_15,MH,1270,ch,L,ub,4.6237
405,MH_CH_17,MH,1270,ch,L,ub,7.7081
407,MH_CH_18,MH,1270,ch,H,ub,23.4166
409,MH_CH_19,MH,1270,ch,H,ub,14.9872
421,MH_CH_25,MH,1270,ch,L,ub,5.7091
423,MH_CH_26,MH,1270,ch,M,ub,18.156
429,MH_CH_29,MH,1270,ch,H,ub,46.3072
437,MH_TT_02,MH,1270,tt,M,ub,26.3059
439,MH_TT_03,MH,1270,tt,H,ub,52.125
441,MH_TT_04,MH,1270,tt,L,ub,23.7842
443,MH_TT_05,MH,1270,tt,L,ub,22.2401
451,MH_TT_09,MH,1270,tt,H,ub,18.2754
453,MH_TT_10,MH,1270,tt,L,ub,11.7073
457,MH_TT_12,MH,1270,tt,L,ub,16.3922
459,MH_TT_13,MH,1270,tt,H,ub,11.3942
463,MH_TT_15,MH,1270,tt,H,ub,13.3249
465,MH_TT_16,MH,1270,tt,L,ub,24.9754
467,MH_TT_17,MH,1270,tt,M,ub,21.5987
469,MH_TT_18,MH,1270,tt,M,ub,23.6761
471,MH_TT_19,MH,1270,tt,M,ub,10.841
479,MH_TT_23,MH,1270,tt,H,ub,20.6857
483,MH_TT_25,MH,1270,tt,L,ub,11.2965
491,MH_TT_29,MH,1270,tt,M,ub,29.1091
